name,hmdb,chebi,kegg_compound,direction,qvalue
D-glucose,HMDB0000122,CHEBI:4167,C00031,up,0.0001
L-valine,HMDB0000883,CHEBI:16414,C00183,up,0.001
L-leucine,HMDB0000687,CHEBI:15603,C00123,up,0.001
L-isoleucine,HMDB0000172,CHEBI:17191,C00407,up,0.001
L-alanine,HMDB0000161,CHEBI:16977,C00041,up,0.01
L-tyrosine,HMDB0000158,CHEBI:17895,C00082,up,0.01
L-phenylalanine,HMDB0000159,CHEBI:17295,C00079,up,0.01
glycine,HMDB0000123,CHEBI:15428,C00037,down,0.005
L-serine,HMDB0000187,CHEBI:17115,C00065,down,0.02
L-glutamine,HMDB0000641,CHEBI:18050,C00064,down,0.03
citrate,HMDB0000094,CHEBI:16947,C00158,down,0.04
pyruvate,HMDB0000243,CHEBI:15361,C00022,up,0.02
L-lactate,HMDB0000190,CHEBI:16651,C00186,up,0.02
2-hydroxybutyrate,HMDB0000008,CHEBI:1148,C05984,up,0.01
acetylcarnitine,HMDB0000201,CHEBI:57589,C02571,up,0.02
