name,level,refmet_id,refmet_name,biomapper_id,biomapper_name,category
(15:3)-anacardic acid,CURATION,174627,"2-Hydroxy-6-(8,11,14-pentadecatrienyl)benzoic acid",25569,nocardic acid,divergent (different compound)
"(2S,3R,4S,5S,6R)-2-[3-hydroxy-5-[(Z)-2-(4-hydroxyphenyl)ethenyl]phenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",MS2,76155,cis-piceid,94610,"(2S,3R,4S,5S,6R)-2-[3-hydroxy-5-[2-(4-hydroxyphenyl)ethenyl]phenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",divergent (different compound)
1 methylhistidine,MS2,70958,1-methylhistidine,27596|50599,N(pros)-methyl-L-histidine | N(tele)-methyl-L-histidine,multi-id (biomapper ambiguous set)
"1,2-propanediol",MS1,16997,"propane-1,2-diol",26288,propanediol,divergent (different compound)
1-(1-enyl-palmitoyl)-GPC (P-16:0),MS2,140773,lysophosphatidylcholine P-16:0,73841,lysophosphatidylcholine (P-16:0/0:0),parent/child or substring (generic vs specific)
1-(1Z-octadecenyl)-sn-glycero-3-phosphocholine,MS2,137889,lysophosphatidylcholine P-18:0,88779,LysoPC P-18:0/0:0,divergent (different compound)
1-methylguanidine,MS2,16628,methylguanidine,189433,1-Methylguanidine hydrochloride,parent/child or substring (generic vs specific)
1-methylxanthine,CURATION,68444,1-methyl-7H-xanthine,68443,1-methylxanthine,divergent (different compound)
12-HHTrE,CURATION,63977,12S-HHTrE,72783,12-HHTrE,parent/child or substring (generic vs specific)
2'-deoxyguanosine 5'-monophosphate (dGMP),MS1,16192,2'-deoxyguanosine 5'-monophosphate,57673,2'-deoxyguanosine 5'-monophosphate(2-),same-molecule variant (stereo/charge/acid-anion)
"2,3-butanediol",MS2,16982,"(R,R)-butane-2,3-diol",62064,"butane-2,3-diol",same-molecule variant (stereo/charge/acid-anion)
"2,3-diphosphoglycerate",MS2,17720,"2,3-bisphospho-D-glyceric acid",28907,"2,3-bisphosphoglyceric acid",same-molecule variant (stereo/charge/acid-anion)
"2,4-diaminobutyrate",MS1,64307,"2,4-diaminobutyric acid",16028,"L-2,4-diaminobutyrate",same-molecule variant (stereo/charge/acid-anion)
2-Methylmaleate,MS2,17626,citraconic acid,87810,3-methylmalate(2-),divergent (different compound)
2-aminoadipate,CURATION,37024,2-aminoadipic acid,84981,2-aminoadipate(2-),same-molecule variant (stereo/charge/acid-anion)
2-aminooctanoate,CURATION,75145,2-aminooctanoic acid,142420,2-aminooctanoate,same-molecule variant (stereo/charge/acid-anion)
2-aminophenol sulfate,CURATION,133194,2-aminophenyl sulfate,133186,2-aminophenyl hydrogen sulfate,divergent (different compound)
2-hydroxybehenate,CURATION,76980,2-hydroxybehenic acid,76722,2-hydroxybehenate,same-molecule variant (stereo/charge/acid-anion)
2-hydroxydecanoate,CURATION,133172,2-hydroxydecanoic acid,133174,2-hydroxydecanoate,same-molecule variant (stereo/charge/acid-anion)
2-hydroxyhippurate (salicylurate),CURATION,9008,salicyluric acid,132923,salicylurate,same-molecule variant (stereo/charge/acid-anion)
2-hydroxyoctanoate,CURATION,86543,2-hydroxyoctanoic acid,133514,2-hydroxyoctanoate,same-molecule variant (stereo/charge/acid-anion)
2-hydroxypalmitate,CURATION,65101,2-hydroxyhexadecanoic acid,142989,2-hydroxypalmitoleate,divergent (different compound)
2-isopropylmalate,MS2,28635,2-isopropylmalic acid,35128,(2S)-2-isopropylmalic acid,same-molecule variant (stereo/charge/acid-anion)
"3,4,5-trimethoxycinnamate",MS2,566519,"3,4,5-trimethoxycinnamic acid",228320,"(E)-3,4,5-Trimethoxycinnamic acid",same-molecule variant (stereo/charge/acid-anion)
"3,4-dihydroxybenzoate",MS2,36062,"3,4-dihydroxybenzoic acid",36241,"3,4-dihydroxybenzoate",same-molecule variant (stereo/charge/acid-anion)
"3,4-dihydroxymandelate",MS2,27637,"3,4-dihydroxymandelic acid",53326,"3,4-dihydroxymandelate",same-molecule variant (stereo/charge/acid-anion)
3-(4-hydroxyphenyl)lactate,CURATION,16003,(R)-3-(4-hydroxyphenyl)lactic acid,36659,3-(4-hydroxyphenyl)lactate,same-molecule variant (stereo/charge/acid-anion)
3-aminoisobutyrate,CURATION,142590,3-aminoisobutanoic acid zwitterion,49096,3-aminoisobutyrate,divergent (different compound)
3-hydroxyanthranilate,MS1,15793,3-hydroxyanthranilic acid,36559,3-hydroxyanthranilate,same-molecule variant (stereo/charge/acid-anion)
3-hydroxydecanoate,CURATION,132983,3-hydroxydecanoic acid,132979,3-hydroxydecanoate,same-molecule variant (stereo/charge/acid-anion)
3-hydroxyisobutyrate,CURATION,18064,3-hydroxyisobutyric acid,11805,3-hydroxyisobutyrate,same-molecule variant (stereo/charge/acid-anion)
3-hydroxylaurate,CURATION,36206,3-hydroxylauric acid,76616,3-hydroxylaurate,same-molecule variant (stereo/charge/acid-anion)
3-hydroxymandelate,MS1,86553,3-hydroxymandelic acid,32804,4-hydroxymandelate,same-molecule variant (stereo/charge/acid-anion)
3-hydroxyoctanoate,CURATION,37098,3-hydroxyoctanoic acid,133511,3-hydroxyoctanoate,same-molecule variant (stereo/charge/acid-anion)
3-methyladipate,MS2,68503,3-methyladipic acid,86387,3-methyladipate(2-),same-molecule variant (stereo/charge/acid-anion)
3-methylhistidine,CURATION,70959,3-methylhistidine,27596|50599,N(pros)-methyl-L-histidine | N(tele)-methyl-L-histidine,multi-id (biomapper ambiguous set)
3-phenyllactic acid,MS2,43065,(S)-3-phenyllactic acid,25998,3-phenyllactic acid,same-molecule variant (stereo/charge/acid-anion)
3-phenylpropionate (hydrocinnamate),CURATION,28631,3-phenylpropionic acid,51057,3-phenylpropionate,same-molecule variant (stereo/charge/acid-anion)
4-acetamidophenol,MS2,46195,paracetamol,143107,2-acetamidophenol,divergent (different compound)
4-guanidinobutanoate,CURATION,15728,4-guanidinobutanoic acid,86392,4-guanidinobutanoate,same-molecule variant (stereo/charge/acid-anion)
4-hydroxyhippurate,CURATION,71018,p-hydroxyhippuric acid,133607,m-hydroxyhippurate,divergent (different compound)
4-hydroxynonenal,MS2,142593,4-hydroxynonenal,58968,(E)-4-hydroxynon-2-enal,same-molecule variant (stereo/charge/acid-anion)
4-hydroxypyridine,MS2,133125,4-pyridone,87614,4-hydroxypyridine,divergent (different compound)
4-methyl-2-oxopentanoate,CURATION,48430,4-methyl-2-oxopentanoic acid,17865,4-methyl-2-oxopentanoate,same-molecule variant (stereo/charge/acid-anion)
4-methylbenzenesulfonate,MS2,27849,toluene-4-sulfonic acid,11987,4-formylbenzenesulfonate,divergent (different compound)
4-methylcatechol sulfate,CURATION,176442,4-Methylcatechol 1-O-sulfate,232803,4-methylcatechol sulfate,divergent (different compound)
4-nitrophenol,MS2,16836,4-nitrophenol,57917,4-nitrophenolate,parent/child or substring (generic vs specific)
5-aminolevulinate,MS2,17549,5-aminolevulinic acid,12109,5-aminolevulinate,same-molecule variant (stereo/charge/acid-anion)
