name,level,category,refmet_id,biomapper_id,refmet_node,bm_node,refmet_in_kg,arm,n_candidates,bm_rank,refmet_rank,rank1_score,refmet_score,score_gap,outcome,refmet_has_RM,bm_has_RM
(15:3)-anacardic acid,CURATION,divergent (different compound),CHEBI:174627,CHEBI:25569,CHEBI:174627,CHEBI:25569,True,chebi_filter,50,1,,0.6786,,,refmet_absent,True,False
"(2S,3R,4S,5S,6R)-2-[3-hydroxy-5-[(Z)-2-(4-hydroxyphenyl)ethenyl]phenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",MS2,divergent (different compound),CHEBI:76155,CHEBI:94610,CHEBI:76155,CHEBI:94610,True,chebi_filter,50,1,,2.4507,,,refmet_absent,True,False
1 methylhistidine,MS2,multi-id (biomapper ambiguous set),CHEBI:70958,CHEBI:27596|CHEBI:50599,CHEBI:70958,RM:0162041,True,chebi_filter,50,4,1,4.8348,4.8348,0.0,refmet_rank1,False,True
"1,2-propanediol",MS1,divergent (different compound),CHEBI:16997,CHEBI:26288,CHEBI:16997,CHEBI:26288,True,chebi_filter,50,29,31,1.359,0.8635,0.4954,refmet_ranked_low,True,False
1-(1-enyl-palmitoyl)-GPC (P-16:0),MS2,parent/child or substring (generic vs specific),CHEBI:140773,CHEBI:73841,CHEBI:140773,RM:0133228,True,chebi_filter,50,,,1.4362,,,refmet_absent,False,True
1-(1Z-octadecenyl)-sn-glycero-3-phosphocholine,MS2,divergent (different compound),CHEBI:137889,CHEBI:88779,CHEBI:137889,RM:0133230,True,chebi_filter,50,,,0.8946,,,refmet_absent,False,True
1-methylguanidine,MS2,parent/child or substring (generic vs specific),CHEBI:16628,CHEBI:189433,CHEBI:16628,CHEBI:189433,True,chebi_filter,50,1,,1.4961,,,refmet_absent,True,False
1-methylxanthine,CURATION,divergent (different compound),CHEBI:68444,CHEBI:68443,CHEBI:68444,CHEBI:68443,True,chebi_filter,50,1,2,3.2574,2.4833,0.774,refmet_ranked_low,True,False
12-HHTrE,CURATION,parent/child or substring (generic vs specific),CHEBI:63977,CHEBI:72783,CHEBI:63977,CHEBI:72783,True,chebi_filter,50,1,28,2.4114,0.5701,1.8413,refmet_ranked_low,True,False
2'-deoxyguanosine 5'-monophosphate (dGMP),MS1,same-molecule variant (stereo/charge/acid-anion),CHEBI:16192,CHEBI:57673,CHEBI:16192,CHEBI:57673,True,chebi_filter,50,1,2,1.5796,1.4522,0.1274,refmet_ranked_low,True,False
"2,3-butanediol",MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:16982,CHEBI:62064,CHEBI:16982,CHEBI:62064,True,chebi_filter,50,1,2,2.4684,2.4571,0.0112,refmet_ranked_low,True,False
"2,3-diphosphoglycerate",MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:17720,CHEBI:28907,CHEBI:17720,CHEBI:28907,True,chebi_filter,50,1,,2.4739,,,refmet_absent,True,False
"2,4-diaminobutyrate",MS1,same-molecule variant (stereo/charge/acid-anion),CHEBI:64307,CHEBI:16028,CHEBI:64307,CHEBI:16028,True,chebi_filter,50,1,12,1.526,0.6927,0.8333,refmet_ranked_low,False,False
2-Methylmaleate,MS2,divergent (different compound),CHEBI:17626,CHEBI:87810,CHEBI:17626,CHEBI:87810,True,chebi_filter,50,1,,0.8283,,,refmet_absent,True,False
2-aminoadipate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:37024,CHEBI:84981,CHEBI:37024,CHEBI:84981,True,chebi_filter,50,1,,3.0988,,,refmet_absent,True,False
2-aminooctanoate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:75145,CHEBI:142420,LM:FA01100056,CHEBI:142420,True,chebi_filter,50,1,,4.9137,,,refmet_absent,True,False
2-aminophenol sulfate,CURATION,divergent (different compound),CHEBI:133194,CHEBI:133186,CHEBI:133194,CHEBI:133186,True,chebi_filter,50,2,14,2.4042,0.8395,1.5647,refmet_ranked_low,False,True
2-hydroxybehenate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:76980,CHEBI:76722,LM:FA01050077,CHEBI:76722,True,chebi_filter,50,1,,4.8945,,,refmet_absent,True,False
2-hydroxydecanoate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:133172,CHEBI:133174,CHEBI:133172,CHEBI:133174,True,chebi_filter,50,1,2,4.9051,2.4628,2.4424,refmet_ranked_low,True,False
2-hydroxyhippurate (salicylurate),CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:9008,CHEBI:132923,CHEBI:9008,CHEBI:132923,True,chebi_filter,50,1,6,1.4289,0.7035,0.7254,refmet_ranked_low,True,False
2-hydroxyoctanoate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:86543,CHEBI:133514,CHEBI:86543,CHEBI:133514,True,chebi_filter,50,1,,4.8954,,,refmet_absent,True,False
2-hydroxypalmitate,CURATION,divergent (different compound),CHEBI:65101,CHEBI:142989,CHEBI:65101,CHEBI:142989,True,chebi_filter,50,1,,2.4006,,,refmet_absent,True,False
2-isopropylmalate,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:28635,CHEBI:35128,CHEBI:28635,CHEBI:35128,True,chebi_filter,50,,,3.1715,,,refmet_absent,False,True
"3,4,5-trimethoxycinnamate",MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:566519,CHEBI:228320,CHEBI:566519,UNII:C9096D920O,True,chebi_filter,50,,3,4.9206,1.5145,3.4061,refmet_ranked_low,False,True
"3,4-dihydroxybenzoate",MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:36062,CHEBI:36241,CHEBI:36062,CHEBI:36241,True,chebi_filter,50,1,2,4.8839,2.4609,2.423,refmet_ranked_low,True,False
"3,4-dihydroxymandelate",MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:27637,CHEBI:53326,CHEBI:27637,CHEBI:53326,True,chebi_filter,50,1,5,4.9193,0.8888,4.0306,refmet_ranked_low,True,False
3-(4-hydroxyphenyl)lactate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:16003,CHEBI:36659,CHEBI:17385,CHEBI:36659,True,chebi_filter,50,1,,4.8981,,,refmet_absent,True,False
3-aminoisobutyrate,CURATION,divergent (different compound),CHEBI:142590,CHEBI:49096,CHEBI:27389,CHEBI:49096,True,chebi_filter,50,1,,4.9072,,,refmet_absent,True,False
3-hydroxyanthranilate,MS1,same-molecule variant (stereo/charge/acid-anion),CHEBI:15793,CHEBI:36559,CHEBI:15793,CHEBI:36559,True,chebi_filter,50,1,2,4.9051,2.4188,2.4863,refmet_ranked_low,True,False
3-hydroxydecanoate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:132983,CHEBI:132979,CHEBI:132983,CHEBI:132979,True,chebi_filter,50,1,,4.9048,,,refmet_absent,True,False
3-hydroxyisobutyrate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:18064,CHEBI:11805,CHEBI:37373,CHEBI:11805,True,chebi_filter,50,1,7,4.8747,0.8529,4.0219,refmet_ranked_low,True,False
3-hydroxylaurate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:36206,CHEBI:76616,CHEBI:36206,CHEBI:76616,True,chebi_filter,50,1,,4.9012,,,refmet_absent,True,False
3-hydroxymandelate,MS1,same-molecule variant (stereo/charge/acid-anion),CHEBI:86553,CHEBI:32804,CHEBI:86553,CHEBI:32804,True,chebi_filter,50,3,,1.3757,,,refmet_absent,True,False
3-hydroxyoctanoate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:37098,CHEBI:133511,CHEBI:37098,CHEBI:133511,True,chebi_filter,50,1,8,4.8939,0.856,4.0379,refmet_ranked_low,True,False
3-methyladipate,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:68503,CHEBI:86387,CHEBI:68503,CHEBI:86387,True,chebi_filter,50,1,,3.1268,,,refmet_absent,True,False
3-methylhistidine,CURATION,multi-id (biomapper ambiguous set),CHEBI:70959,CHEBI:27596|CHEBI:50599,CHEBI:70959,RM:0162041,True,chebi_filter,50,3,1,4.8798,4.8798,0.0,refmet_rank1,False,True
3-phenyllactic acid,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:43065,CHEBI:25998,CHEBI:43065,CHEBI:25998,True,chebi_filter,50,1,15,2.4742,0.7615,1.7128,refmet_ranked_low,True,False
3-phenylpropionate (hydrocinnamate),CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:28631,CHEBI:51057,CHEBI:28631,CHEBI:51057,True,chebi_filter,50,1,46,1.5261,0.6608,0.8652,refmet_ranked_low,True,False
4-acetamidophenol,MS2,divergent (different compound),CHEBI:46195,CHEBI:143107,CHEBI:46195,CHEBI:143107,True,chebi_filter,50,1,,0.8649,,,refmet_absent,True,False
4-guanidinobutanoate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:15728,CHEBI:86392,CHEBI:15728,CHEBI:86392,True,chebi_filter,50,1,2,4.9064,0.8936,4.0127,refmet_ranked_low,True,False
4-hydroxyhippurate,CURATION,divergent (different compound),CHEBI:71018,CHEBI:133607,CHEBI:71018,CHEBI:133607,True,chebi_filter,50,1,,0.8281,,,refmet_absent,True,False
4-hydroxynonenal,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:142593,CHEBI:58968,CHEBI:142593,CHEBI:58968,True,chebi_filter,50,3,1,4.8434,4.8434,0.0,refmet_rank1,False,True
4-hydroxypyridine,MS2,divergent (different compound),CHEBI:133125,CHEBI:87614,UNII:3P2MV07G53,CHEBI:87614,True,chebi_filter,50,1,2,3.3593,2.4523,0.907,refmet_ranked_low,True,False
4-methyl-2-oxopentanoate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:48430,CHEBI:17865,CHEBI:48430,CHEBI:17865,True,chebi_filter,50,1,8,4.9147,0.874,4.0406,refmet_ranked_low,True,False
4-methylbenzenesulfonate,MS2,divergent (different compound),CHEBI:27849,CHEBI:11987,CHEBI:27849,CHEBI:11987,True,chebi_filter,50,12,,1.4471,,,refmet_absent,True,False
4-methylcatechol sulfate,CURATION,divergent (different compound),CHEBI:176442,CHEBI:232803,CHEBI:176442,CHEBI:232803,True,chebi_filter,50,1,27,4.8823,0.7516,4.1307,refmet_ranked_low,True,False
4-nitrophenol,MS2,parent/child or substring (generic vs specific),CHEBI:16836,CHEBI:57917,CHEBI:16836,CHEBI:57917,True,chebi_filter,50,1,2,3.097,2.4709,0.6261,refmet_ranked_low,True,False
5-aminolevulinate,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:17549,CHEBI:12109,CHEBI:17549,CHEBI:12109,True,chebi_filter,50,1,13,4.889,0.8428,4.0462,refmet_ranked_low,True,False
5-dodecenoate (12:1n7),CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:83044,CHEBI:83046,CHEBI:83044,CHEBI:83046,True,chebi_filter,50,1,24,1.517,0.635,0.882,refmet_ranked_low,False,False
5-hydroxylysine,CURATION,parent/child or substring (generic vs specific),CHEBI:60175,CHEBI:18040,CHEBI:60175,CHEBI:18040,True,chebi_filter,50,3,5,3.3611,0.8857,2.4754,refmet_ranked_low,False,True
5_HpEPE__4_55,MS2,divergent (different compound),CHEBI:138392,CHEBI:90822,CHEBI:138392,CHEBI:90822,True,chebi_filter,50,1,,0.6691,,,refmet_absent,False,False
"5alpha-androstan-3beta,17beta-diol disulfate",CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:133115,CHEBI:133116,RM:0156093,CHEBI:133116,True,chebi_filter,50,2,5,3.3048,1.6395,1.6653,refmet_ranked_low,True,False
6-hydroxyindole sulfate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:133568,CHEBI:133569,RM:0161395,CHEBI:133569,True,chebi_filter,50,2,1,3.2238,3.2238,0.0,refmet_rank1,True,False
6-shogaol,MS2,divergent (different compound),CHEBI:174643,CHEBI:10138,CHEBI:174643,CHEBI:10138,True,chebi_filter,50,1,,3.2065,,,refmet_absent,False,False
7-methylguanine,CURATION,divergent (different compound),CHEBI:28664,CHEBI:2274,UNII:661J4K04NB,CHEBI:2274,True,chebi_filter,50,1,2,4.9094,2.4393,2.47,refmet_ranked_low,True,False
7alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca),CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:83036,CHEBI:133803,CHEBI:83036,CHEBI:133803,True,chebi_filter,50,1,2,3.2263,0.8136,2.4127,refmet_ranked_low,False,False
9(10)-EpOME,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:34494,CHEBI:84023,LM:FA02000037,CHEBI:84023,True,chebi_filter,50,1,3,3.1692,2.4143,0.7549,refmet_ranked_low,True,False
9-hydroxystearate,CURATION,divergent (different compound),CHEBI:136638,CHEBI:229769,CHEBI:136638,CHEBI:229769,True,chebi_filter,50,2,,1.2606,,,refmet_absent,True,False
Beta-Leucine,MS2,multi-id (biomapper ambiguous set),CHEBI:72772,CHEBI:15604|CHEBI:86261,CHEBI:72772,RM:0021466,True,chebi_filter,50,2,3,3.3076,2.4552,0.8524,refmet_ranked_low,False,True
Chaulmoogric acid,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:27939,CHEBI:61389,CHEBI:27939,LM:FA01140017,True,chebi_filter,50,2,5,2.4924,0.8818,1.6106,refmet_ranked_low,False,True
Diethyl 2-methyl-3-oxosuccinate,MS2,divergent (different compound),CHEBI:172442,CHEBI:16879,CHEBI:172442,CHEBI:16879,True,chebi_filter,50,1,,2.4823,,,refmet_absent,False,True
Germicidin C,MS2,parent/child or substring (generic vs specific),CHEBI:218904,CHEBI:216747,CHEBI:218904,CHEBI:216747,True,chebi_filter,50,1,2,3.0451,2.417,0.6281,refmet_ranked_low,False,False
Glutaconic Acid,MS1,same-molecule variant (stereo/charge/acid-anion),CHEBI:24309,CHEBI:15670,CHEBI:24309,CHEBI:15670,True,chebi_filter,50,2,1,3.2196,3.2196,0.0,refmet_rank1,False,True
Glutamine,MS2,multi-id (biomapper ambiguous set),CHEBI:28300,CHEBI:18050|CHEBI:58359,CHEBI:28300,CHEBI:18050,True,chebi_filter,50,1,16,2.4869,0.8327,1.6542,refmet_ranked_low,False,True
Glycocholic acid,MS1,same-molecule variant (stereo/charge/acid-anion),CHEBI:17687,CHEBI:29746,CHEBI:17687,CHEBI:29746,True,chebi_filter,50,1,2,3.3187,2.4976,0.8211,refmet_ranked_low,True,False
Isethionate,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:1157,CHEBI:61904,CHEBI:1157,CHEBI:61904,True,chebi_filter,50,1,49,4.8515,0.8969,3.9546,refmet_ranked_low,True,False
L-Carvone,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:38265,CHEBI:15400,CHEBI:15399,CHEBI:15400,True,chebi_filter,50,3,,0.8459,,,refmet_absent,True,True
LPC 18:1,MS2,divergent (different compound),CHEBI:28610,CHEBI:72589,CHEBI:28610,LM:GP01050030,True,chebi_filter,50,2,,3.0329,,,refmet_absent,True,False
N-acetylasparagine,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:138368,CHEBI:139582,CHEBI:138368,CHEBI:139582,True,chebi_filter,50,3,2,4.8901,3.2012,1.6889,refmet_ranked_low,False,True
